DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2020,ES,262,ES53,1,176,2,976.96743,1,3,1
2020,ES,263,ES53,1,176,2,4728.54764,1,3,1
2020,ES,264,ES53,1,177,2,7491.81448,1,3,1
2020,ES,266,ES53,1,177,2,8244.67582,1,3,1
2020,ES,267,ES53,1,177,2,869.90593,1,3,1
2020,ES,269,ES53,1,187,2,9303.10787,1,2,1
2020,ES,270,ES53,1,193,2,2490.75818,1,3,1
2020,ES,271,ES53,1,193,2,4739.92739,1,3,1
2020,ES,273,ES53,1,194,2,1331.85866,1,3,1
2020,ES,274,ES53,1,194,2,2724.12876,1,3,1
2020,ES,275,ES53,1,194,2,1253.83350,1,3,1
2020,ES,276,ES53,1,194,2,707.76604,1,3,1
2020,ES,277,ES53,1,194,2,1253.83350,1,3,1
2020,ES,278,ES53,1,203,2,4045.57654,1,1,1
2020,ES,279,ES53,1,203,2,478.62774,1,3,1
2020,ES,280,ES53,1,203,2,583.40162,1,1,1
2020,ES,283,ES53,1,207,2,777.81388,1,1,1
2020,ES,284,ES53,1,208,2,709.76142,1,1,1
2020,ES,285,ES53,1,208,2,529.32596,1,1,1
2020,ES,286,ES53,1,208,2,277.11733,1,1,1
2020,ES,287,ES53,1,208,2,1082.46979,1,1,1
2020,ES,289,ES53,1,210,2,506.12624,1,1,1
2020,ES,293,ES53,1,218,2,1732.60681,1,1,1
2020,ES,295,ES53,1,226,2,470.66263,1,1,1
2020,ES,296,ES53,1,226,2,952.27303,1,1,1
2020,ES,299,ES53,1,227,2,2419.42659,1,1,1
2020,ES,301,ES53,1,227,2,4136.02998,1,1,1
2020,ES,303,ES53,1,228,2,571.21052,1,3,1
2020,ES,304,ES53,1,228,2,380.03143,1,3,1
2020,ES,307,ES53,1,228,2,692.51797,1,3,1
2020,ES,311,ES53,1,230,2,2122.44097,1,2,1
2020,ES,313,ES53,1,233,2,380.03143,1,3,1
2020,ES,314,ES53,1,233,2,891.59334,1,3,1
2020,ES,315,ES53,1,233,2,4749.83753,1,3,1
2020,ES,316,ES53,1,234,2,1633.70159,1,3,1
2020,ES,318,ES53,1,240,2,2224.17926,1,3,1
2020,ES,320,ES51,1,249,2,5842.24934,1,1,1
2020,ES,325,ES51,1,249,2,3966.18678,1,1,1
2020,ES,327,ES51,1,251,2,5966.19470,1,1,1
2020,ES,328,ES51,1,251,2,3261.08436,1,1,1
2020,ES,329,ES51,1,251,2,5388.79479,1,1,1
2020,ES,330,ES51,1,251,2,4949.61166,1,1,1
2020,ES,331,ES51,1,251,2,3308.37015,1,1,1
2020,ES,332,ES51,1,257,2,2800.38675,1,1,1
2020,ES,333,ES51,1,257,2,3374.59351,1,1,1
2020,ES,334,ES51,1,257,2,5102.92156,1,1,1
2020,ES,335,ES51,1,257,2,3002.29881,1,1,1
2020,ES,337,ES51,1,263,2,3415.78668,1,1,1
2020,ES,338,ES51,1,263,2,5245.11997,1,1,1
2020,ES,339,ES51,1,263,2,5654.88843,1,1,1
2020,ES,340,ES51,1,268,2,3419.79585,1,1,1
2020,ES,343,ES51,1,268,2,20709.64756,1,1,1
2020,ES,344,ES51,1,274,2,5135.26155,1,1,1
2020,ES,345,ES51,1,274,2,2800.38675,1,1,1
2020,ES,347,ES51,1,276,2,3159.46743,1,1,1
2020,ES,348,ES51,1,276,2,2899.66778,1,1,1
2020,ES,349,ES51,1,278,2,3463.14771,1,1,1
2020,ES,352,ES51,1,280,2,6025.82632,1,1,1
2020,ES,353,ES51,1,280,2,9402.84023,1,1,1
2020,ES,354,ES51,1,281,2,4607.16909,1,1,1
2020,ES,355,ES51,1,284,2,4883.16367,1,1,1
2020,ES,356,ES51,1,284,2,2505.78600,1,1,1
2020,ES,357,ES51,1,284,2,3669.12941,1,1,1
2020,ES,359,ES51,1,287,2,5905.26562,1,1,1
2020,ES,361,ES51,1,287,2,4387.33587,1,1,1
2020,ES,362,ES51,1,288,2,6243.91797,1,1,1
2020,ES,363,ES51,1,288,2,5602.52551,1,1,1
2020,ES,364,ES51,1,288,2,7928.37220,1,2,1
2020,ES,366,ES51,1,296,2,2142.47269,1,1,1
2020,ES,367,ES51,1,296,2,3987.71724,1,1,1
2020,ES,369,ES51,1,296,2,3333.26530,1,1,1
2020,ES,370,ES51,1,303,2,3987.71724,1,1,1
2020,ES,372,ES51,1,303,2,3715.01536,1,1,1
2020,ES,373,ES51,1,307,2,5641.95170,1,1,1
2020,ES,374,ES51,1,307,2,3531.99242,1,1,1
2020,ES,375,ES51,1,307,2,2773.87292,1,1,1
2020,ES,376,ES51,1,307,2,3536.17003,1,1,1
2020,ES,377,ES51,1,312,2,8805.47320,1,2,1
2020,ES,378,ES51,1,312,2,5988.62794,1,2,1
2020,ES,379,ES51,1,312,2,4229.79985,1,2,1
2020,ES,381,ES51,1,312,2,9538.95234,1,2,1
2020,ES,382,ES51,1,312,2,3968.75253,1,2,1
2020,ES,384,ES51,1,318,2,6386.33549,1,1,1
2020,ES,386,ES51,1,318,2,12461.37207,1,1,1
2020,ES,387,ES51,1,320,2,5198.05057,1,1,1
2020,ES,388,ES51,1,320,2,6042.01820,1,1,1
2020,ES,390,ES51,1,324,2,6092.54997,1,2,1
2020,ES,391,ES51,1,324,2,11162.36464,1,2,1
2020,ES,392,ES51,1,324,2,13018.96232,1,2,1
2020,ES,394,ES51,1,325,2,3810.03053,1,3,1
2020,ES,395,ES51,1,325,2,2847.47384,1,3,1
2020,ES,396,ES51,1,325,2,4140.36989,1,3,1
2020,ES,398,ES51,1,325,2,4395.32553,1,3,1
2020,ES,399,ES51,1,333,2,6968.98621,1,1,1
2020,ES,400,ES51,1,333,2,4671.98760,1,1,1
2020,ES,401,ES51,1,333,2,3594.24216,1,1,1
2020,ES,402,ES51,1,333,2,6981.17841,1,1,1
2020,ES,404,ES51,1,336,2,5628.79317,1,1,1
2020,ES,405,ES51,1,338,2,4999.67821,1,2,1
2020,ES,406,ES51,1,338,2,4247.71885,1,2,1
2020,ES,410,ES51,1,344,2,11512.01941,1,1,1
2020,ES,413,ES51,1,344,2,7985.71971,1,1,1
2020,ES,414,ES51,1,344,2,4309.99823,1,1,1
2020,ES,415,ES51,1,344,2,11377.16499,1,1,1
2020,ES,416,ES51,1,344,2,14845.29571,1,1,1
2020,ES,417,ES51,1,344,2,4616.47991,1,1,1
2020,ES,419,ES51,1,349,2,8648.13295,1,1,1
2020,ES,420,ES51,1,349,2,8976.59995,1,1,1
2020,ES,425,ES51,1,349,2,5433.91521,1,1,1
2020,ES,426,ES51,1,349,2,7229.67718,1,1,1
2020,ES,430,ES51,1,369,2,3330.43342,1,1,1
2020,ES,432,ES51,1,372,2,2151.29322,1,2,1
2020,ES,436,ES51,1,381,2,4378.16633,1,2,1
2020,ES,437,ES51,1,381,2,4865.45356,1,2,1
2020,ES,438,ES51,1,381,2,5752.48893,1,2,1
2020,ES,439,ES51,1,381,2,8054.14503,1,2,1
2020,ES,440,ES51,1,390,2,7589.67364,1,1,1
2020,ES,441,ES51,1,390,2,4714.85453,1,2,1
2020,ES,442,ES51,1,390,2,9831.77970,1,1,1
2020,ES,445,ES51,1,403,2,5552.62354,1,1,1
2020,ES,446,ES51,1,403,2,4877.01322,1,1,1
2020,ES,448,ES51,1,404,2,6556.29110,1,1,1
2020,ES,450,ES51,1,405,2,5812.74664,1,1,1
2020,ES,453,ES51,1,405,2,1648.62860,1,1,1
2020,ES,457,ES51,1,408,2,3435.94403,1,2,1
2020,ES,463,ES51,1,416,2,10659.16474,1,1,1
2020,ES,464,ES51,1,416,2,3239.97992,1,1,1
2020,ES,468,ES41,1,417,2,1236.41078,1,2,1
2020,ES,469,ES41,1,417,2,4742.38995,1,2,1
2020,ES,470,ES41,1,417,2,805.69438,1,2,1
2020,ES,473,ES41,1,417,2,2017.49510,1,2,1
2020,ES,475,ES41,1,421,2,708.79057,1,1,1
2020,ES,478,ES41,1,421,2,446.29471,1,1,1
2020,ES,479,ES43,1,437,2,845.60262,1,3,1
2020,ES,480,ES43,1,437,2,1160.81939,1,3,1
2020,ES,481,ES43,1,437,2,551.99022,1,3,1
2020,ES,482,ES43,1,437,2,598.34734,1,3,1
2020,ES,483,ES43,1,437,2,340.64493,1,3,1
2020,ES,484,ES43,1,437,2,1102.27018,1,3,1
2020,ES,485,ES43,1,437,2,370.76917,1,3,1
2020,ES,486,ES43,1,437,2,813.43399,1,3,1
2020,ES,488,ES43,1,441,2,1793.95050,1,1,1
2020,ES,489,ES43,1,441,2,528.21150,1,1,1
2020,ES,491,ES43,1,441,2,567.37283,1,1,1
2020,ES,493,ES43,1,443,2,561.03758,1,1,1
2020,ES,494,ES43,1,443,2,359.39161,1,1,1
2020,ES,495,ES43,1,443,2,561.03758,1,1,1
2020,ES,498,ES43,1,443,2,569.31590,1,1,1
2020,ES,499,ES43,1,443,2,1305.96236,1,1,1
2020,ES,501,ES43,1,446,2,212.12260,1,3,1
2020,ES,502,ES43,1,446,2,441.82314,1,3,1
2020,ES,503,ES43,1,446,2,361.69039,1,3,1
2020,ES,504,ES43,1,446,2,106.32713,1,3,1
2020,ES,505,ES43,1,446,2,1893.93148,1,3,1
2020,ES,506,ES43,1,446,2,152.59208,1,3,1
2020,ES,508,ES43,1,446,2,1002.84197,1,3,1
2020,ES,509,ES43,1,446,2,92.00782,1,3,1
2020,ES,511,ES43,1,458,2,2843.42937,1,3,1
2020,ES,512,ES43,1,458,2,2378.17147,1,3,1
2020,ES,513,ES43,1,458,2,812.98433,1,3,1
2020,ES,514,ES43,1,458,2,1074.59732,1,3,1
2020,ES,515,ES43,1,458,2,1886.34292,1,3,1
2020,ES,516,ES43,1,458,2,534.93666,1,3,1
2020,ES,517,ES43,1,458,2,262.94164,1,3,1
2020,ES,518,ES43,1,458,2,295.50130,1,3,1
2020,ES,519,ES43,1,461,2,1051.70312,1,3,1
